지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원,lat,lng
서울지방병무청,1313,1494,1313,1494,37.5057661785548,126.922726823845
보라매,1504,1397,1504,1397,37.5008205922635,126.920735867544
보라매공원,1093,1142,1093,1142,37.4930838003695,126.919756524074
보라매병원,1801,1886,1801,1886,37.4938896313487,126.924073975494
당곡,2157,2011,2157,2011,37.4898907244889,126.927718112844
신림,1099,1597,1099,1597,37.4841196518392,126.928712092948
서원,1721,1612,1721,1612,37.478259985687,126.933262205033
서울대벤처타운,4415,4306,4415,4306,37.4720905385625,126.933969602866
관악산,3358,3609,3358,3609,37.4687413067708,126.945653230284
관악산,2202,2210,2202,2210,37.4687413067708,126.945653230284
서울대벤처타운,5912,6031,5912,6031,37.4720905385625,126.933969602866
서원,2661,2317,2661,2317,37.478259985687,126.933262205033
신림,1517,2146,1517,2146,37.4841196518392,126.928712092948
당곡,3398,3440,3398,3440,37.4898907244889,126.927718112844
보라매병원,6217,6435,6217,6435,37.4938896313487,126.924073975494
보라매공원,1538,1690,1538,1690,37.4930838003695,126.919756524074
보라매,2664,2455,2664,2455,37.5008205922635,126.920735867544
서울지방병무청,1991,2242,1991,2242,37.5057661785548,126.922726823845
대방,1820,1329,1820,1329,37.5128688879851,126.925248506022
샛강,2072,2435,2072,2435,37.5175286381865,126.930460204563
샛강,2167,2539,2167,2539,37.5175286381865,126.930460204563
대방,1805,1367,1805,1367,37.5128688879851,126.925248506022
서울지방병무청,2103,2268,2103,2268,37.5057661785548,126.922726823845
관악산,2093,2090,2093,2090,37.4687413067708,126.945653230284
서울대벤처타운,6113,6405,6113,6405,37.4720905385625,126.933969602866
서원,2580,2448,2580,2448,37.478259985687,126.933262205033
신림,1591,2077,1591,2077,37.4841196518392,126.928712092948
당곡,3434,3444,3434,3444,37.4898907244889,126.927718112844
보라매병원,6506,6656,6506,6656,37.4938896313487,126.924073975494
보라매공원,1531,1712,1531,1712,37.4930838003695,126.919756524074
보라매,2600,2423,2600,2423,37.5008205922635,126.920735867544
샛강,2098,2580,2098,2580,37.5175286381865,126.930460204563
대방,1850,1438,1850,1438,37.5128688879851,126.925248506022
서울지방병무청,2066,2365,2066,2365,37.5057661785548,126.922726823845
보라매,2636,2468,2636,2468,37.5008205922635,126.920735867544
보라매공원,1627,1770,1627,1770,37.4930838003695,126.919756524074
보라매병원,6555,6634,6555,6634,37.4938896313487,126.924073975494
당곡,3531,3549,3531,3549,37.4898907244889,126.927718112844
신림,1554,2021,1554,2021,37.4841196518392,126.928712092948
서원,2743,2703,2743,2703,37.478259985687,126.933262205033
서울대벤처타운,6027,6295,6027,6295,37.4720905385625,126.933969602866
관악산,1974,2033,1974,2033,37.4687413067708,126.945653230284
관악산,1727,1783,1727,1783,37.4687413067708,126.945653230284
서울대벤처타운,6115,6221,6115,6221,37.4720905385625,126.933969602866
서원,3021,2683,3021,2683,37.478259985687,126.933262205033
신림,1548,2077,1548,2077,37.4841196518392,126.928712092948
당곡,3741,3642,3741,3642,37.4898907244889,126.927718112844
보라매병원,6766,6924,6766,6924,37.4938896313487,126.924073975494
보라매공원,1628,1759,1628,1759,37.4930838003695,126.919756524074
보라매,2625,2404,2625,2404,37.5008205922635,126.920735867544
서울지방병무청,2305,2517,2305,2517,37.5057661785548,126.922726823845
대방,1787,1398,1787,1398,37.5128688879851,126.925248506022
샛강,2020,2463,2020,2463,37.5175286381865,126.930460204563
샛강,2203,2841,2203,2841,37.5175286381865,126.930460204563
대방,1904,1509,1904,1509,37.5128688879851,126.925248506022
서울지방병무청,2295,2500,2295,2500,37.5057661785548,126.922726823845
보라매,2860,2567,2860,2567,37.5008205922635,126.920735867544
보라매공원,1882,1972,1882,1972,37.4930838003695,126.919756524074
보라매병원,5831,6064,5831,6064,37.4938896313487,126.924073975494
당곡,3742,3560,3742,3560,37.4898907244889,126.927718112844
신림,1696,2313,1696,2313,37.4841196518392,126.928712092948
서원,2915,2440,2915,2440,37.478259985687,126.933262205033
서울대벤처타운,6806,6428,6806,6428,37.4720905385625,126.933969602866
관악산,3009,2906,3009,2906,37.4687413067708,126.945653230284
서울대벤처타운,5908,5274,5908,5274,37.4720905385625,126.933969602866
관악산,4560,4645,4560,4645,37.4687413067708,126.945653230284
서원,2350,2043,2350,2043,37.478259985687,126.933262205033
신림,1502,2017,1502,2017,37.4841196518392,126.928712092948
당곡,3097,2677,3097,2677,37.4898907244889,126.927718112844
보라매병원,2868,2915,2868,2915,37.4938896313487,126.924073975494
보라매공원,1361,1443,1361,1443,37.4930838003695,126.919756524074
보라매,2261,1952,2261,1952,37.5008205922635,126.920735867544
서울지방병무청,1643,1815,1643,1815,37.5057661785548,126.922726823845
대방,1686,1137,1686,1137,37.5128688879851,126.925248506022
샛강,1115,1503,1115,1503,37.5175286381865,126.930460204563
샛강,906,1217,906,1217,37.5175286381865,126.930460204563
대방,1059,891,1059,891,37.5128688879851,126.925248506022
서울지방병무청,1313,1480,1313,1480,37.5057661785548,126.922726823845
보라매,1604,1539,1604,1539,37.5008205922635,126.920735867544
보라매공원,1066,1155,1066,1155,37.4930838003695,126.919756524074
보라매병원,1977,2028,1977,2028,37.4938896313487,126.924073975494
당곡,2251,2195,2251,2195,37.4898907244889,126.927718112844
신림,1198,1784,1198,1784,37.4841196518392,126.928712092948
서원,1818,1714,1818,1714,37.478259985687,126.933262205033
서울대벤처타운,4477,4493,4477,4493,37.4720905385625,126.933969602866
관악산,4802,4679,4802,4679,37.4687413067708,126.945653230284
샛강,2188,2703,2188,2703,37.5175286381865,126.930460204563
대방,1875,1472,1875,1472,37.5128688879851,126.925248506022
서울지방병무청,2286,2524,2286,2524,37.5057661785548,126.922726823845
보라매,2758,2575,2758,2575,37.5008205922635,126.920735867544
보라매공원,1763,1923,1763,1923,37.4930838003695,126.919756524074
보라매병원,6645,6847,6645,6847,37.4938896313487,126.924073975494
당곡,3545,3561,3545,3561,37.4898907244889,126.927718112844
신림,1627,2122,1627,2122,37.4841196518392,126.928712092948
서원,2880,2612,2880,2612,37.478259985687,126.933262205033
서울대벤처타운,6387,6549,6387,6549,37.4720905385625,126.933969602866
관악산,2936,3002,2936,3002,37.4687413067708,126.945653230284
샛강,2238,2680,2238,2680,37.5175286381865,126.930460204563
대방,1856,1498,1856,1498,37.5128688879851,126.925248506022
서울지방병무청,2271,2509,2271,2509,37.5057661785548,126.922726823845
보라매,2836,2648,2836,2648,37.5008205922635,126.920735867544
보라매공원,1859,1982,1859,1982,37.4930838003695,126.919756524074
보라매병원,6838,7253,6838,7253,37.4938896313487,126.924073975494
당곡,3750,3654,3750,3654,37.4898907244889,126.927718112844
신림,1667,2263,1667,2263,37.4841196518392,126.928712092948
서원,2861,2622,2861,2622,37.478259985687,126.933262205033
서울대벤처타운,6338,6470,6338,6470,37.4720905385625,126.933969602866
관악산,2784,2836,2784,2836,37.4687413067708,126.945653230284
샛강,2264,2718,2264,2718,37.5175286381865,126.930460204563
대방,1996,1567,1996,1567,37.5128688879851,126.925248506022
서울지방병무청,2247,2595,2247,2595,37.5057661785548,126.922726823845
보라매,2869,2763,2869,2763,37.5008205922635,126.920735867544
보라매공원,1752,1883,1752,1883,37.4930838003695,126.919756524074
보라매병원,6885,7109,6885,7109,37.4938896313487,126.924073975494
당곡,3793,3765,3793,3765,37.4898907244889,126.927718112844
신림,1721,2322,1721,2322,37.4841196518392,126.928712092948
서원,2916,2868,2916,2868,37.478259985687,126.933262205033
서울대벤처타운,6317,6537,6317,6537,37.4720905385625,126.933969602866
관악산,2940,2957,2940,2957,37.4687413067708,126.945653230284
관악산,2307,2389,2307,2389,37.4687413067708,126.945653230284
서울대벤처타운,6183,6411,6183,6411,37.4720905385625,126.933969602866
서원,2891,2604,2891,2604,37.478259985687,126.933262205033
신림,1676,2070,1676,2070,37.4841196518392,126.928712092948
당곡,3669,3652,3669,3652,37.4898907244889,126.927718112844
보라매병원,6833,7059,6833,7059,37.4938896313487,126.924073975494
보라매공원,1775,1852,1775,1852,37.4930838003695,126.919756524074
보라매,2743,2520,2743,2520,37.5008205922635,126.920735867544
서울지방병무청,2204,2456,2204,2456,37.5057661785548,126.922726823845
대방,1937,1505,1937,1505,37.5128688879851,126.925248506022
샛강,2168,2661,2168,2661,37.5175286381865,126.930460204563
관악산,2577,2513,2577,2513,37.4687413067708,126.945653230284
서울대벤처타운,6743,6518,6743,6518,37.4720905385625,126.933969602866
서원,2942,2459,2942,2459,37.478259985687,126.933262205033
신림,1650,2156,1650,2156,37.4841196518392,126.928712092948
당곡,3858,3592,3858,3592,37.4898907244889,126.927718112844
보라매병원,5965,6405,5965,6405,37.4938896313487,126.924073975494
보라매공원,1817,1937,1817,1937,37.4930838003695,126.919756524074
보라매,2966,2588,2966,2588,37.5008205922635,126.920735867544
서울지방병무청,2352,2506,2352,2506,37.5057661785548,126.922726823845
대방,2125,1515,2125,1515,37.5128688879851,126.925248506022
샛강,2136,2815,2136,2815,37.5175286381865,126.930460204563
관악산,4418,4648,4418,4648,37.4687413067708,126.945653230284
서울대벤처타운,5708,5094,5708,5094,37.4720905385625,126.933969602866
서원,2298,1976,2298,1976,37.478259985687,126.933262205033
신림,1410,1909,1410,1909,37.4841196518392,126.928712092948
당곡,3058,2670,3058,2670,37.4898907244889,126.927718112844
보라매병원,2968,3011,2968,3011,37.4938896313487,126.924073975494
보라매공원,1417,1419,1417,1419,37.4930838003695,126.919756524074
보라매,2190,1963,2190,1963,37.5008205922635,126.920735867544
서울지방병무청,1668,1770,1668,1770,37.5057661785548,126.922726823845
대방,1794,1180,1794,1180,37.5128688879851,126.925248506022
샛강,1099,1479,1099,1479,37.5175286381865,126.930460204563
샛강,808,1177,808,1177,37.5175286381865,126.930460204563
대방,1226,887,1226,887,37.5128688879851,126.925248506022
서울지방병무청,1310,1486,1310,1486,37.5057661785548,126.922726823845
보라매,1627,1519,1627,1519,37.5008205922635,126.920735867544
보라매공원,1111,1192,1111,1192,37.4930838003695,126.919756524074
보라매병원,2070,2177,2070,2177,37.4938896313487,126.924073975494
당곡,2351,2229,2351,2229,37.4898907244889,126.927718112844
신림,1138,1800,1138,1800,37.4841196518392,126.928712092948
서원,1843,1721,1843,1721,37.478259985687,126.933262205033
서울대벤처타운,4425,4302,4425,4302,37.4720905385625,126.933969602866
관악산,4605,4615,4605,4615,37.4687413067708,126.945653230284
관악산,2610,2629,2610,2629,37.4687413067708,126.945653230284
서울대벤처타운,6223,6467,6223,6467,37.4720905385625,126.933969602866
서원,2787,2543,2787,2543,37.478259985687,126.933262205033
신림,1573,2091,1573,2091,37.4841196518392,126.928712092948
당곡,3674,3597,3674,3597,37.4898907244889,126.927718112844
보라매병원,6847,6889,6847,6889,37.4938896313487,126.924073975494
보라매공원,1802,1940,1802,1940,37.4930838003695,126.919756524074
보라매,2849,2599,2849,2599,37.5008205922635,126.920735867544
서울지방병무청,2244,2414,2244,2414,37.5057661785548,126.922726823845
대방,1801,1449,1801,1449,37.5128688879851,126.925248506022
샛강,2126,2546,2126,2546,37.5175286381865,126.930460204563
관악산,3017,3014,3017,3014,37.4687413067708,126.945653230284
서울대벤처타운,6540,6592,6540,6592,37.4720905385625,126.933969602866
서원,2891,2617,2891,2617,37.478259985687,126.933262205033
신림,1663,2209,1663,2209,37.4841196518392,126.928712092948
당곡,3765,3688,3765,3688,37.4898907244889,126.927718112844
보라매병원,7003,7393,7003,7393,37.4938896313487,126.924073975494
보라매공원,1856,2021,1856,2021,37.4930838003695,126.919756524074
보라매,2881,2708,2881,2708,37.5008205922635,126.920735867544
서울지방병무청,2284,2497,2284,2497,37.5057661785548,126.922726823845
대방,2001,1475,2001,1475,37.5128688879851,126.925248506022
샛강,2294,2808,2294,2808,37.5175286381865,126.930460204563
샛강,2005,2534,2005,2534,37.5175286381865,126.930460204563
대방,1774,1457,1774,1457,37.5128688879851,126.925248506022
서울지방병무청,2236,2471,2236,2471,37.5057661785548,126.922726823845
보라매,2759,2518,2759,2518,37.5008205922635,126.920735867544
보라매공원,1800,1872,1800,1872,37.4930838003695,126.919756524074
보라매병원,7154,6892,7154,6892,37.4938896313487,126.924073975494
당곡,3618,3707,3618,3707,37.4898907244889,126.927718112844
신림,1563,2109,1563,2109,37.4841196518392,126.928712092948
서원,2947,2796,2947,2796,37.478259985687,126.933262205033
서울대벤처타운,5803,6103,5803,6103,37.4720905385625,126.933969602866
관악산,1735,1809,1735,1809,37.4687413067708,126.945653230284
샛강,2324,2853,2324,2853,37.5175286381865,126.930460204563
대방,1944,1464,1944,1464,37.5128688879851,126.925248506022
서울지방병무청,2210,2466,2210,2466,37.5057661785548,126.922726823845
보라매,2874,2704,2874,2704,37.5008205922635,126.920735867544
보라매공원,1835,2054,1835,2054,37.4930838003695,126.919756524074
보라매병원,6553,7048,6553,7048,37.4938896313487,126.924073975494
당곡,3660,3636,3660,3636,37.4898907244889,126.927718112844
신림,1594,2227,1594,2227,37.4841196518392,126.928712092948
서원,2875,2602,2875,2602,37.478259985687,126.933262205033
