사용월,호선명,지하철역,출근시간 승차인원,출근시간 하차인원,퇴근시간 승차인원,퇴근시간 하차인원
202202,경부선,평택지제,12980,21762,22659,14225
202202,경부선,화서,70585,14103,19089,62260
202201,경부선,가산디지털단지,32575,205273,204847,63365
202201,경부선,관악,66006,16038,23817,58381
202201,경부선,광명,21945,12514,21409,22182
202201,경부선,구로,82632,110623,126713,98873
202201,경부선,군포,40164,79937,64522,34157
202201,경부선,금정,178698,142739,151216,190458
202201,경부선,금천구청,95743,44612,49010,98097
202201,경부선,남영,27675,62636,75368,45400
202201,경부선,노량진,39456,33130,46044,67344
202201,경부선,당정,50963,23477,26698,44778
202201,경부선,대방,68321,85031,82166,77843
202201,경부선,독산,92326,152251,158290,95357
202201,경부선,두정,27461,14153,26594,36060
202201,경부선,명학,52359,74688,63115,45231
202201,경부선,병점,96475,50372,68020,106831
202201,경부선,서동탄,15315,3536,4360,11232
202201,경부선,서울역,22060,10585,37936,16676
202201,경부선,서정리,30994,28611,43892,40377
202201,경부선,석수,81272,30699,38898,71546
202201,경부선,성균관대,125939,29303,49585,124995
202201,경부선,성환,11439,17666,19132,16189
202201,경부선,세류,26655,9298,12819,23421
202201,경부선,세마,18865,12485,14304,19196
