사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수,평일주말
20200104,5호선,영등포시장,8941,9457,18398,주말
20200104,5호선,신길,2496,2701,5197,주말
20200104,5호선,여의도,9402,10508,19910,주말
20200104,5호선,여의나루,4803,4786,9589,주말
20200104,5호선,마포,8558,8787,17345,주말
20200104,5호선,공덕,8724,9141,17865,주말
20200104,5호선,애오개,4418,4294,8712,주말
20200104,5호선,충정로,2232,2130,4362,주말
20200104,5호선,서대문,9693,9342,19035,주말
20200104,5호선,광화문,31915,33740,65655,주말
20200104,5호선,종로3가,17845,17435,35280,주말
20200104,5호선,을지로4가,4220,4572,8792,주말
20200104,5호선,동대문역사문화공원,1293,1656,2949,주말
20200104,5호선,청구,3000,2664,5664,주말
20200104,5호선,신금호,4848,4916,9764,주말
20200104,5호선,행당,6667,5764,12431,주말
20200104,5호선,왕십리,4152,5095,9247,주말
20200104,5호선,마장,4617,4624,9241,주말
20200104,5호선,답십리,12244,11186,23430,주말
20200104,5호선,장한평,13592,13809,27401,주말
20200104,5호선,군자,9303,10235,19538,주말
20200104,5호선,아차산,12957,12417,25374,주말
20200104,5호선,광나루,12001,11361,23362,주말
20200104,5호선,천호,19375,19587,38962,주말
20200104,5호선,강동,17269,14909,32178,주말
20200104,5호선,길동,6205,6588,12793,주말
20200104,5호선,굽은다리,8113,7390,15503,주말
20200104,5호선,명일,6722,6605,13327,주말
20200104,5호선,고덕,6972,6559,13531,주말
20200104,5호선,상일동,10987,9659,20646,주말
20200104,5호선,둔촌동,7197,7112,14309,주말
20200104,5호선,올림픽공원,3728,3670,7398,주말
20200104,5호선,방이,6276,6109,12385,주말
20200104,5호선,오금,2327,2290,4617,주말
20200104,5호선,개롱,5128,5208,10336,주말
20200104,5호선,거여,6077,5700,11777,주말
20200104,5호선,마천,4414,4531,8945,주말
20200104,6호선,응암,14632,14074,28706,주말
20200104,6호선,역촌,3198,3614,6812,주말
20200104,6호선,불광,4571,4155,8726,주말
20200104,6호선,독바위,2305,2573,4878,주말
20200104,6호선,연신내,1,0,1,주말
20200104,6호선,구산,6087,4547,10634,주말
20200104,6호선,새절,10395,9903,20298,주말
20200104,6호선,증산,8427,7963,16390,주말
20200104,6호선,디지털미디어시티,8392,8429,16821,주말
20200104,6호선,월드컵경기장,4820,5062,9882,주말
20200104,6호선,마포구청,10740,9298,20038,주말
20200104,6호선,망원,13202,14613,27815,주말
20200104,6호선,합정,14282,13146,27428,주말
20200104,6호선,상수,9711,11995,21706,주말
20200104,6호선,광흥창,6341,5858,12199,주말
20200104,6호선,대흥,6073,6180,12253,주말
20200104,6호선,공덕,12325,11623,23948,주말
20200104,6호선,효창공원앞,5140,4596,9736,주말
20200104,6호선,삼각지,6195,4440,10635,주말
20200104,6호선,녹사평,5593,6578,12171,주말
20200104,6호선,이태원,18738,24107,42845,주말
20200104,6호선,한강진,8930,10860,19790,주말
20200104,6호선,버티고개,1742,1791,3533,주말
20200104,6호선,약수,2837,2950,5787,주말
20200104,6호선,청구,2704,2819,5523,주말
20200104,6호선,신당,7188,6013,13201,주말
20200104,6호선,동묘앞,9103,8714,17817,주말
20200104,6호선,창신,2461,1915,4376,주말
20200104,6호선,보문,5976,5190,11166,주말
20200104,6호선,안암,8510,8270,16780,주말
20200104,6호선,고려대,6519,6196,12715,주말
20200104,6호선,월곡,9435,9038,18473,주말
20200104,6호선,상월곡,4542,3945,8487,주말
20200104,6호선,돌곶이,6590,5976,12566,주말
