사용일자,노선명,역명,승차총승객수,하차총승객수
20200106,경춘선,사릉,3763,3484
20200106,경춘선,상천,233,226
20200106,경춘선,신내,1442,1509
20200106,경춘선,천마산,1654,1517
20200106,경춘선,청평,1877,1875
20200106,경춘선,춘천,1444,1319
20200106,경춘선,퇴계원,4061,3678
20200106,경춘선,평내호평,6343,6251
20200106,공항철도 1호선,검암,8870,8323
20200106,공항철도 1호선,계양,11119,10098
20200106,공항철도 1호선,공덕,2708,3445
20200106,공항철도 1호선,공항화물청사,2697,3083
20200106,공항철도 1호선,김포공항,11716,7190
20200106,공항철도 1호선,디지털미디어시티,15552,13780
20200106,공항철도 1호선,마곡나루,7832,7139
20200106,공항철도 1호선,서울역,13217,11048
20200106,공항철도 1호선,영종,3097,3063
20200106,공항철도 1호선,운서,7594,8000
20200106,공항철도 1호선,인천공항1터미널,15133,16717
20200106,공항철도 1호선,인천공항2터미널,5466,4944
20200106,공항철도 1호선,청라국제도시,7613,7021
20200106,공항철도 1호선,홍대입구,11564,11218
20200106,과천선,경마공원,933,942
20200106,과천선,과천,5473,5059
20200106,과천선,대공원,1449,1579
20200106,과천선,범계,30802,29852
20200106,과천선,선바위,10104,8489
20200106,과천선,인덕원,27544,28847
20200106,과천선,정부과천청사,13298,13040
20200106,과천선,평촌,21089,20871
20200106,분당선,가천대,8330,9471
20200106,분당선,강남구청,11062,12938
20200106,분당선,개포동,4012,4344
20200106,분당선,구룡,1807,1752
20200106,분당선,구성,5781,5804
20200106,분당선,기흥,11175,10626
20200106,분당선,대모산입구,3884,3586
20200106,분당선,도곡,7883,8129
20200106,분당선,망포,15383,14507
20200106,분당선,매교,2596,2652
20200106,분당선,매탄권선,4982,4745
20200106,분당선,모란,22970,23055
20200106,분당선,미금,19591,20764
20200106,분당선,보정,3153,2774
20200106,분당선,복정,1,0
20200106,분당선,상갈,6319,5810
20200106,분당선,서울숲,9346,9433
20200106,분당선,서현,31889,32079
20200106,분당선,선릉,15270,24661
20200106,분당선,선정릉,9556,10108
20200106,분당선,수내,15724,15676
20200106,분당선,수서,15502,16155
20200106,분당선,수원,9142,6202
20200106,분당선,수원시청,12342,13688
20200106,분당선,신갈,5652,5493
20200106,분당선,압구정로데오,17729,19798
20200106,분당선,야탑,31430,33035
20200106,분당선,영통,9759,9877
20200106,분당선,오리,13823,11756
20200106,분당선,이매,6287,6110
20200106,분당선,정자,19896,21307
20200106,분당선,죽전,15584,17341
20200106,분당선,청명,4807,4535
20200106,분당선,태평,15252,15034
20200106,분당선,한티,16722,17685
20200106,수인선,남동인더스파크,2338,2505
20200106,수인선,달월,70,39
20200106,수인선,소래포구,4463,4137
20200106,수인선,송도,2817,2513
20200106,수인선,숭의,4083,3769
20200106,수인선,신포,1791,1911
20200106,수인선,연수,4837,4876
20200106,수인선,원인재,4516,4600
20200106,수인선,월곶,2425,2351
20200106,수인선,인천,938,1521
20200106,수인선,인천논현,6299,6603
20200106,수인선,인하대,5659,5385
20200106,수인선,호구포,3895,3983
20200106,안산선,고잔,9136,8886
20200106,안산선,대야미,5325,4830
20200106,안산선,반월,5078,4714
20200106,안산선,산본,19311,20569
20200106,안산선,상록수,20061,19933
20200106,안산선,수리산,4749,3824
20200106,안산선,신길온천,1640,1459
20200106,안산선,안산,13727,12321
20200106,안산선,오이도,10216,9608
20200106,안산선,정왕,7572,8296
20200106,안산선,중앙,17463,18177
20200106,안산선,초지,4402,4308
20200106,안산선,한대앞,8958,8620
20200106,우이신설선,4.19민주묘지,2844,2726
20200106,우이신설선,가오리,4416,4384
20200106,우이신설선,보문,1669,1710
20200106,우이신설선,북한산보국문,6179,5963
20200106,우이신설선,북한산우이,2291,2044
20200106,우이신설선,삼양,2117,2334
20200106,우이신설선,삼양사거리,2656,2802
20200106,우이신설선,성신여대입구(돈암),3775,4159
20200106,우이신설선,솔밭공원,2496,2438
20200106,우이신설선,솔샘,6298,5940
20200106,우이신설선,신설동,2265,2269
20200106,우이신설선,정릉,4738,4533
20200106,우이신설선,화계,3657,3470
20200106,일산선,대곡,1805,1242
20200106,일산선,대화,16544,12766
20200106,일산선,마두,9232,9668
20200106,일산선,백석,11992,12200
20200106,일산선,삼송,20043,19100
20200106,일산선,원당,12447,11668
20200106,일산선,원흥,10239,9599
20200106,일산선,정발산,8566,8759
20200106,일산선,주엽,11119,11281
20200106,일산선,화정,20864,21720
20200106,장항선,배방,950,913
20200106,장항선,봉명,1446,1384
20200106,장항선,신창(순천향대),1142,1261
20200106,장항선,쌍용(나사렛대),1901,1792
20200106,장항선,아산,2716,2317
20200106,장항선,온양온천,4196,4317
20200106,중앙선,구리,15166,15332
20200106,중앙선,국수,822,761
20200106,중앙선,덕소,6467,6286
20200106,중앙선,도농,11076,9806
20200106,중앙선,도심,2898,2263
20200106,중앙선,망우,8234,8102
20200106,중앙선,상봉(시외버스터미널),6280,6243
20200106,중앙선,신원,221,168
20200106,중앙선,아신,565,549
20200106,중앙선,양수,1855,1835
20200106,중앙선,양원,1710,1722
20200106,중앙선,양정,852,731
20200106,중앙선,양평,3143,3035
20200106,중앙선,오빈,301,305
20200106,중앙선,용문,1869,1802
20200106,중앙선,운길산,605,499
20200106,중앙선,원덕,344,305
20200106,중앙선,중랑,6146,5757
20200106,중앙선,지평,63,49
20200106,중앙선,팔당,745,699
20200106,중앙선,회기,27803,27062
20200107,1호선,동대문,12450,12843
20200107,1호선,동묘앞,6090,6291
20200107,1호선,서울역,56932,52709
20200107,1호선,시청,28129,28050
20200107,1호선,신설동,15945,15650
20200107,1호선,제기동,17678,17677
20200107,1호선,종각,49608,47621
20200107,1호선,종로3가,32831,31628
20200107,1호선,종로5가,28447,27705
20200107,1호선,청량리(서울시립대입구),21460,21728
20200107,2호선,강남,115832,116538
20200107,2호선,강변(동서울터미널),39683,38522
20200107,2호선,건대입구,40892,44346
20200107,2호선,교대(법원.검찰청),41769,47369
20200107,2호선,구로디지털단지,71028,71465
20200107,2호선,구의(광진구청),26649,26102
20200107,2호선,낙성대,31169,30458
20200107,2호선,당산,21565,25128
20200107,2호선,대림(구로구청),28769,29191
20200107,2호선,도림천,1458,1558
20200107,2호선,동대문역사문화공원,16222,18829
20200107,2호선,뚝섬,21862,23035
20200107,2호선,문래,24430,24600
20200107,2호선,방배,20211,20977
20200107,2호선,봉천,27393,25583
20200107,2호선,사당,44077,47887
20200107,2호선,삼성(무역센터),67197,67710
20200107,2호선,상왕십리,15752,15295
20200107,2호선,서울대입구(관악구청),54754,52963
20200107,2호선,서초,25573,25010
20200107,2호선,선릉,68443,60518
20200107,2호선,성수,35634,38346
20200107,2호선,시청,30647,29322
20200107,2호선,신답,1749,2025
20200107,2호선,신당,15025,15754
20200107,2호선,신대방,29871,28533
20200107,2호선,신도림,59593,58223
20200107,2호선,신림,71503,70124
20200107,2호선,신설동,3937,3948
20200107,2호선,신정네거리,10433,10843
20200107,2호선,신촌,46154,47407
20200107,2호선,아현,11175,10835
20200107,2호선,양천구청,7936,8446
20200107,2호선,역삼,63812,69366
20200107,2호선,영등포구청,26070,25971
20200107,2호선,왕십리(성동구청),19087,15781
20200107,2호선,용답,2767,2768
20200107,2호선,용두(동대문구청),2500,2609
20200107,2호선,을지로3가,26809,25979
20200107,2호선,을지로4가,14987,14441
20200107,2호선,을지로입구,56020,56195
20200107,2호선,이대,16961,17714
20200107,2호선,잠실(송파구청),83156,82477
20200107,2호선,잠실나루,18317,17846
20200107,2호선,잠실새내,25645,25573
20200107,2호선,종합운동장,9012,9665
20200107,2호선,충정로(경기대입구),12230,12849
20200107,2호선,한양대,10179,10770
20200107,2호선,합정,33994,35248
20200107,2호선,홍대입구,68312,71304
20200107,3호선,가락시장,10844,10490
20200107,3호선,경복궁(정부서울청사),22466,21742
20200107,3호선,경찰병원,9463,9363
20200107,3호선,고속터미널,52659,50550
20200107,3호선,교대(법원.검찰청),17132,10965
20200107,3호선,구파발,23350,21562
20200107,3호선,금호,9108,8604
20200107,3호선,남부터미널(예술의전당),34322,34670
20200107,3호선,녹번,15209,13758
20200107,3호선,대청,11460,10416
20200107,3호선,대치,14257,13910
20200107,3호선,도곡,6692,6590
20200107,3호선,독립문,7635,7794
20200107,3호선,동대입구,10794,11392
20200107,3호선,매봉,13551,13028
20200107,3호선,무악재,4332,4610
20200107,3호선,불광,18006,19458
20200107,3호선,수서,19280,19378
20200107,3호선,신사,35580,37931
20200107,3호선,안국,25352,25711
20200107,3호선,압구정,38236,41272
20200107,3호선,약수,15128,14670
20200107,3호선,양재(서초구청),46677,50246
20200107,3호선,연신내,42117,40569
20200107,3호선,오금,7354,6549
20200107,3호선,옥수,10258,10704
20200107,3호선,을지로3가,13297,13699
20200107,3호선,일원,12060,12261
20200107,3호선,잠원,7098,6964
20200107,3호선,종로3가,12433,14350
20200107,3호선,지축,1930,2058
20200107,3호선,충무로,2,0
20200107,3호선,학여울,2007,2075
20200107,3호선,홍제,19371,18398
20200107,4호선,길음,23860,22960
20200107,4호선,남태령,1406,1307
20200107,4호선,노원,22070,25250
20200107,4호선,당고개,13294,12017
20200107,4호선,동대문,24099,24677
20200107,4호선,동대문역사문화공원,21271,19215
20200107,4호선,동작(현충원),2071,2260
20200107,4호선,명동,31482,33616
20200107,4호선,미아(서울사이버대학),17163,16201
20200107,4호선,미아사거리,31503,30535
20200107,4호선,사당,29655,25244
20200107,4호선,삼각지,5578,6310
20200107,4호선,상계,21739,19800
20200107,4호선,서울역,15301,23591
20200107,4호선,성신여대입구(돈암),23683,23010
20200107,4호선,수유(강북구청),38297,38371
20200107,4호선,숙대입구(갈월),16054,15766
20200107,4호선,신용산,18796,19420
20200107,4호선,쌍문,34149,31436
20200107,4호선,이촌(국립중앙박물관),9507,10282
20200107,4호선,창동,29476,31530
20200107,4호선,총신대입구(이수),22128,24234
20200107,4호선,충무로,34211,34466
20200107,4호선,한성대입구(삼선교),15304,14941
20200107,4호선,혜화,39359,39992
20200107,4호선,회현(남대문시장),30766,31919
20200107,5호선,강동,22737,20189
20200107,5호선,개롱,7582,7863
20200107,5호선,개화산,6199,5800
20200107,5호선,거여,8568,8051
20200107,5호선,고덕,10791,10680
20200107,5호선,공덕,16331,17836
20200107,5호선,광나루(장신대),14711,13298
20200107,5호선,광화문(세종문화회관),39458,40731
20200107,5호선,군자(능동),11920,13015
20200107,5호선,굽은다리(강동구민회관앞),10177,9973
20200107,5호선,길동,8160,8680
20200107,5호선,김포공항,8283,7785
20200107,5호선,까치산,32095,30770
20200107,5호선,답십리,17755,16442
20200107,5호선,동대문역사문화공원,3593,4120
