사용월,호선명,지하철역,출근시간 하차인원,09-16시 승차인원,09-16시 하차인원,퇴근시간 승차인원,퇴근시간 하차인원,새벽 승차인원,새벽 하차인원,야간 승차인원,야간 하차인원,총 승차인원,총 하차인원
201504,수인분당선,청명,18987,48664,33299,24797,33145,1457,683,12305,36252,106922,89221
201504,수인분당선,태평,32191,188541,119374,55017,134075,13907,2311,29779,139317,394917,293193
201504,수인분당선,한티,84205,146049,182326,102206,94860,1945,855,91899,62891,300988,330277
201504,수인분당선,호구포,35689,24178,20141,26253,15224,1061,284,13925,12687,54814,68801
201505,수인분당선,가천대,53678,134124,193860,80753,67110,4774,1136,56272,73737,247782,322411
201505,수인분당선,강남구청,60411,83063,132045,82526,51696,1178,595,46828,31661,153166,224712
201505,수인분당선,개포동,14248,55136,41006,20369,32796,1601,249,14166,33890,102904,89393
201505,수인분당선,구룡,16841,32543,21391,13750,15178,891,428,5627,14714,54696,53374
201505,수인분당선,구성,15958,69444,41274,22299,51803,2445,413,9877,50135,141140,107780
201505,수인분당선,기흥,32745,100274,77825,51206,60766,3595,569,32229,67731,200704,178870
201505,수인분당선,남동인더스파크,32216,14672,11421,20867,5580,480,254,8169,4595,27585,48486
201505,수인분당선,달월,1205,703,715,1421,236,4,33,97,216,1058,2169
201505,수인분당선,대모산입구,15218,52114,36019,19693,30118,2332,413,9509,31780,105950,83430
201505,수인분당선,도곡,43306,74196,70649,46920,37716,1187,939,25399,31919,127424,146813
201505,수인분당선,망포,62718,118590,80512,86658,83261,3210,2042,49351,90791,262050,236063
201505,수인분당선,매교,12575,30576,23688,13946,22234,2779,338,6932,19014,64900,55615
201505,수인분당선,매탄권선,15840,50306,30697,24017,35399,2022,723,12156,37079,106115,84339
201505,수인분당선,모란,78526,338985,266517,137419,191363,14702,3744,78331,179272,618425,528059
201505,수인분당선,미금,88410,290751,257864,137649,180374,7034,805,88324,156489,515018,503568
201505,수인분당선,보정,11044,38066,21230,13661,18729,1037,102,6847,18574,73455,50950
201505,수인분당선,복정,0,1,0,0,0,0,0,1,0,2,0
201505,수인분당선,상갈,19003,68669,44642,29728,41226,2664,492,10557,46950,130323,111087
201505,수인분당선,서울숲,28425,85329,94766,57672,46181,2458,280,23514,37429,154484,160900
201505,수인분당선,서현,121404,284391,371939,219320,192234,5652,3048,182720,116563,562448,612954
201505,수인분당선,선릉,175042,63570,204110,95219,64101,1499,1283,60803,32275,138669,412710
201505,수인분당선,선정릉,71051,69064,112770,81398,34451,1101,803,44862,20774,130857,205398
201505,수인분당선,소래포구,9619,80618,98465,35121,34281,1759,340,18657,23655,132159,132079
201505,수인분당선,송도,15877,45138,42813,20825,31328,1993,443,12703,26153,93992,85286
201505,수인분당선,수내,76922,152500,188387,109064,84412,2830,1426,87545,56234,292751,322969
201505,수인분당선,수서,52348,95443,77415,56366,56649,3568,2003,28836,56887,182208,188653
201505,수인분당선,수원,24898,97781,64009,62239,55504,5056,588,58194,41210,228813,130705
201505,수인분당선,수원시청,49602,107335,129016,74550,90240,4889,820,67250,68232,227637,247670
201505,수인분당선,신갈,9486,60423,37552,17511,38754,2648,224,8052,41911,117551,89173
201505,수인분당선,압구정로데오,88182,116289,259082,149506,91536,2563,691,131568,33816,267641,381771
201505,수인분당선,야탑,145483,343048,346260,205018,216587,8023,4006,137619,168089,631762,663838
201505,수인분당선,연수,13184,38936,37654,22947,28008,1425,175,15638,22812,82845,73825
201505,수인분당선,영통,43925,101946,112555,72337,66970,2551,1003,58040,61850,203290,219333
201505,수인분당선,오리,64721,200152,146699,94673,97181,6252,407,59496,92427,381448,304254
201505,수인분당선,원인재,13416,47843,39696,20396,36067,2449,548,14100,37986,99006,91646
201505,수인분당선,월곶,5984,31380,23251,13539,19675,1106,273,6509,18074,60585,47582
201505,수인분당선,이매,25907,69175,56156,33456,38902,2490,929,20005,33137,128196,116129
201505,수인분당선,인천논현,24936,58404,54498,32576,42506,1999,451,25474,31407,117256,111292
201505,수인분당선,정자,97822,179211,187013,119103,123563,4367,988,88822,103214,352097,389037
201505,수인분당선,죽전,75596,285805,270942,141225,210739,8077,729,108409,213355,572350,560622
201505,수인분당선,청명,16234,50182,36087,24980,33667,1577,751,12620,35639,105873,88711
201505,수인분당선,태평,30842,197428,122402,56094,129463,13765,2491,31506,139195,392523,294930
201505,수인분당선,한티,76001,148830,189244,104891,95981,2136,903,95982,63100,302567,329248
201505,수인분당선,호구포,31184,27277,21583,24697,16014,1023,288,13478,13620,56059,66675
201506,수인분당선,가천대,46511,114779,163178,63326,63135,5191,1155,45800,65680,220884,276524
201506,수인분당선,강남구청,70071,70265,118210,84789,47807,1162,730,46601,27762,139387,216773
201506,수인분당선,개포동,14839,42928,31653,18409,29275,1548,238,13107,29636,88468,76366
201506,수인분당선,구룡,18512,27122,15896,12468,13249,896,425,5291,12283,47298,47116
201506,수인분당선,구성,15967,50854,32383,18795,44905,2368,450,9139,44152,120560,92952
201506,수인분당선,기흥,28079,74684,57397,39791,52443,3559,619,25193,57472,165684,143567
201506,수인분당선,남동인더스파크,35224,12825,10995,21862,5285,482,288,8723,3778,26543,50285
201506,수인분당선,달월,1248,529,536,1599,210,20,38,93,175,899,1997
201506,수인분당선,대모산입구,15369,40446,28609,18253,27392,2460,381,8697,29288,93424,73647
201506,수인분당선,도곡,47677,59203,60528,46954,32686,1129,1056,23696,26563,108033,135824
201506,수인분당선,망포,66261,87956,63479,84199,70940,3141,2580,44806,76581,221838,208901
201506,수인분당선,매교,11968,22266,17310,12304,20201,3033,248,6537,16484,55663,46010
201506,수인분당선,매탄권선,16014,36530,23696,21328,28923,1945,803,11044,31166,87450,71679
201506,수인분당선,모란,76441,267282,206659,119050,172758,14663,3763,69420,158508,539093,445371
201506,수인분당선,미금,88663,225943,204061,121077,157904,7082,776,77670,135380,438205,428880
201506,수인분당선,보정,11320,29101,15975,11950,16355,1064,137,6062,16266,63743,43698
201506,수인분당선,상갈,17432,49129,30121,23724,35339,2598,460,9025,40712,106874,88725
201506,수인분당선,서울숲,28776,57297,52269,40185,42832,2477,354,19809,35154,125849,116553
201506,수인분당선,서현,125811,220245,297839,190467,165963,5542,3272,164089,99258,476378,526180
201506,수인분당선,선릉,206869,58421,202842,108391,61599,1685,1254,62825,28836,135137,439801
201506,수인분당선,선정릉,81139,55500,101354,85269,30467,1174,813,43937,18425,116347,201731
201506,수인분당선,소래포구,9853,53618,58545,24052,28239,1694,294,14487,20747,100229,89439
201506,수인분당선,송도,15870,35103,34449,19843,28163,1955,459,11112,23645,81930,74423
201506,수인분당선,수내,80729,117725,158005,101548,73494,2623,1632,83638,48015,252420,288381
201506,수인분당선,수서,58134,78881,64619,57509,53597,3648,2170,26764,50950,164128,175873
201506,수인분당선,수원,22017,74777,46532,47416,51127,4520,587,44950,36546,190916,105682
201506,수인분당선,수원시청,50340,79401,98551,64919,75806,4052,720,56853,55832,185605,205443
201506,수인분당선,신갈,9079,45712,29318,14649,33941,2569,210,6967,36787,100324,75394
201506,수인분당선,압구정로데오,98263,95833,229997,144262,82551,2267,699,122629,28975,236852,357934
201506,수인분당선,야탑,145375,262341,272615,181247,189974,8018,3918,120201,144301,533653,566209
201506,수인분당선,연수,13387,32243,31761,20835,25522,1585,202,14065,20474,74582,65824
201506,수인분당선,영통,41364,73896,85142,60956,53280,2479,1098,48330,49307,162123,176911
201506,수인분당선,오리,67801,160085,122964,88580,87652,5973,390,54706,82741,337005,273896
201506,수인분당선,원인재,13366,37919,33193,18566,32626,2424,549,13134,33149,87468,80257
201506,수인분당선,월곶,6135,23579,18281,11333,17131,1180,257,5865,15431,51342,40104
201506,수인분당선,이매,26821,53511,41865,28901,39787,2288,974,24204,28948,115546,98608
201506,수인분당선,인천논현,26275,46001,45382,30064,37911,1964,405,24058,27617,103334,99679
201506,수인분당선,정자,104520,140612,157122,114002,111744,4124,938,84823,91928,309943,354508
201506,수인분당선,죽전,68422,212786,208039,114691,176985,7483,644,85479,180694,471761,457799
201506,수인분당선,청명,16529,36327,26434,21600,27687,1554,665,10581,29407,86490,73035
201506,수인분당선,태평,29977,159491,101868,49715,120112,14262,2387,27743,125331,353852,259563
201506,수인분당선,한티,82662,120555,162976,97458,81615,2217,979,88186,52413,262163,299030
201506,수인분당선,호구포,34705,21124,18438,24873,13874,1078,380,13616,11319,50159,64842
201507,수인분당선,가천대,30751,77648,74692,39990,60000,5311,1088,19094,67919,159800,174450
201507,수인분당선,강남구청,72748,78300,131664,90816,50716,1221,804,49102,30306,150247,235522
201507,수인분당선,개포동,15160,47852,37470,20511,30606,1526,277,14510,31204,94453,84111
201507,수인분당선,구룡,14286,30202,18789,10581,13701,835,378,4398,12266,49397,45719
