사용월,호선명,지하철역,출근시간 승차인원,출근시간 하차인원,09-16시 승차인원,09-16시 하차인원,퇴근시간 승차인원,퇴근시간 하차인원,야간 승차인원,야간 하차인원
202208,경부선,의왕,65583,60543,74252,55952,56982,60750,18249,41874
202208,경부선,직산,4905,7127,8108,6306,7403,4806,1911,4014
202208,경부선,진위,6665,18789,12945,10453,18978,6504,4022,4571
202208,경부선,천안,24479,19814,78873,80194,34664,41575,17605,25054
202208,경부선,평택,61375,47306,141544,140208,76008,90886,52040,56576
202208,경부선,평택지제,20815,31535,35479,26714,32145,21305,15981,17526
202208,경부선,화서,92324,20986,69258,48294,26511,80125,11801,47625
202207,경부선,가산디지털단지,38106,231993,96223,174230,228255,74337,70059,44820
202207,경부선,관악,74805,23623,74729,61164,32203,65510,14172,42118
202207,경부선,광명,25263,16759,32549,32893,27006,24455,12928,11886
202207,경부선,구로,95292,121365,163199,181915,141038,112533,55793,84225
202207,경부선,군포,46283,82828,54953,41268,68950,37694,19356,25475
202207,경부선,금정,212490,153382,249569,199406,170590,222511,76975,159567
202207,경부선,금천구청,106379,51510,112282,87697,54390,103561,21589,60214
202207,경부선,남영,35166,77018,82910,94251,84966,54979,42135,33881
202207,경부선,노량진,46209,29972,80074,68534,47441,70940,41814,39103
202207,경부선,당정,60055,28084,57596,38543,31408,49450,11981,39286
202207,경부선,대방,70082,89194,105881,96739,80585,76880,29992,55063
202207,경부선,독산,106771,168298,132948,136912,176178,103797,43641,71230
202207,경부선,두정,37422,20467,62412,59966,34366,46994,20586,37468
202207,경부선,명학,60885,85030,66001,55036,73607,49913,22768,34739
202207,경부선,병점,117363,59503,151511,109060,80913,122677,37587,103714
202207,경부선,서동탄,18433,4106,12057,8398,5459,13256,2084,9774
202207,경부선,서울역,29722,14346,108723,25910,52835,19678,46951,9011
202207,경부선,서정리,39943,39269,82201,61546,56480,48943,22766,42723
202207,경부선,석수,90398,36032,91438,60082,44512,76707,16408,51246
202207,경부선,성균관대,149714,36381,131712,101201,60212,142520,34739,99597
