사용월,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202202,8호선,몽촌토성,2426,2729,2426,2729
202202,8호선,문정,3585,4102,3585,4102
202202,8호선,복정,2978,2994,2978,2994
202202,8호선,산성,2329,2377,2329,2377
202202,8호선,석촌,2912,3900,2912,3900
202202,8호선,송파,2598,2843,2598,2843
202202,8호선,수진,2304,2193,2304,2193
202202,8호선,신흥,2103,2364,2103,2364
202202,8호선,암사,6580,6403,6580,6403
202202,8호선,잠실,8588,9474,8588,9474
202202,8호선,장지,6963,7608,6963,7608
202202,8호선,천호,6727,8063,6727,8063
202202,8호선,가락시장,5960,7136,5960,7136
202202,8호선,강동구청,9614,10131,9614,10131
202202,8호선,남위례,3367,3687,3367,3687
202202,8호선,남한산성입구,11789,10929,11789,10929
