사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수,주중주말
202101,7호선,중계,5312,4819,10131,주말
202101,7호선,노원,9538,9526,19064,주말
202101,7호선,마들,5241,5133,10374,주말
202101,7호선,수락산,6122,6047,12169,주말
202101,7호선,도봉산,3799,5554,9353,주말
202101,7호선,장암,776,491,1267,주말
202101,6호선,봉화산,2929,2925,5854,주말
202101,6호선,화랑대,3205,2773,5978,주말
202101,6호선,태릉입구,2119,2244,4363,주말
202101,6호선,석계,4978,4970,9948,주말
202101,6호선,돌곶이,3203,2976,6179,주말
202101,6호선,상월곡,2337,2102,4439,주말
202101,6호선,월곡,4055,4212,8267,주말
202101,6호선,고려대,2765,2782,5547,주말
202101,6호선,안암,2937,3010,5947,주말
202101,6호선,보문,2631,2540,5171,주말
202101,6호선,창신,1173,1076,2249,주말
202101,6호선,동묘앞,4197,3848,8045,주말
202101,6호선,신당,2159,2096,4255,주말
202101,6호선,청구,1321,1337,2658,주말
202101,6호선,약수,1404,1415,2819,주말
202101,6호선,버티고개,905,947,1852,주말
202101,6호선,한강진,2785,3105,5890,주말
202101,6호선,이태원,4820,4933,9753,주말
202101,6호선,녹사평,2023,2063,4086,주말
202101,6호선,삼각지,1770,1527,3297,주말
202101,6호선,효창공원앞,2369,2208,4577,주말
202101,6호선,공덕,5009,4848,9857,주말
202101,6호선,대흥,2695,2695,5390,주말
202101,6호선,광흥창,2661,2588,5249,주말
202101,6호선,상수,3050,3520,6570,주말
202101,6호선,합정,5557,5119,10676,주말
202101,6호선,망원,6396,6986,13382,주말
202101,6호선,마포구청,5111,4742,9853,주말
202101,6호선,월드컵경기장,2531,2537,5068,주말
202101,6호선,디지털미디어시티,3805,3985,7790,주말
202101,6호선,증산,4492,4488,8980,주말
202101,6호선,새절,4973,4774,9747,주말
202101,6호선,구산,2942,2350,5292,주말
202101,6호선,연신내,1,0,1,주말
202101,6호선,독바위,1246,1495,2741,주말
202101,6호선,불광,2248,2057,4305,주말
202101,6호선,역촌,1571,1817,3388,주말
202101,6호선,응암,7321,7429,14750,주말
202101,5호선,하남풍산,1961,2075,4036,주말
202101,5호선,미사,5132,5025,10157,주말
202101,5호선,마천,2697,2727,5424,주말
202101,5호선,거여,2728,2694,5422,주말
202101,5호선,개롱,2164,2332,4496,주말
202101,5호선,오금,1137,1075,2212,주말
