,사용일자,노선명,역명,승차총승객수,하차총승객수,승하차총승객수
428,20200109,7호선,청담,23721,27140,50861
429,20200109,7호선,강남구청,18520,20611,39131
430,20200109,7호선,학동,27002,29820,56822
431,20200109,7호선,논현,23745,26052,49797
432,20200109,7호선,반포,7195,7092,14287
433,20200109,7호선,고속터미널,20734,17341,38075
434,20200109,7호선,내방,16678,17200,33878
435,20200109,7호선,이수,19416,18916,38332
436,20200109,7호선,남성,13381,12367,25748
437,20200109,7호선,숭실대입구(살피재),14894,14757,29651
438,20200109,7호선,상도,12868,12131,24999
439,20200109,7호선,장승배기,12434,12044,24478
440,20200109,7호선,신대방삼거리,19219,18474,37693
441,20200109,7호선,보라매,11243,11296,22539
442,20200109,7호선,신풍,12833,12361,25194
443,20200109,7호선,대림(구로구청),9806,9783,19589
444,20200109,7호선,남구로,18502,19843,38345
445,20200109,7호선,가산디지털단지,50862,51370,102232
446,20200109,7호선,철산,26344,26938,53282
447,20200109,7호선,광명사거리,27902,27261,55163
448,20200109,7호선,천왕,11429,10414,21843
449,20200109,7호선,온수(성공회대입구),11699,10860,22559
450,20200109,7호선,까치울,8169,7701,15870
451,20200109,7호선,부천종합운동장,5236,4456,9692
452,20200109,7호선,춘의,10765,10491,21256
453,20200109,7호선,신중동,16941,16838,33779
454,20200109,7호선,부천시청,14379,14169,28548
455,20200109,7호선,상동,16086,16492,32578
456,20200109,7호선,삼산체육관,5826,5190,11016
457,20200109,7호선,굴포천,10527,11014,21541
458,20200109,7호선,부평구청,13676,11073,24749
459,20200110,7호선,장암,2798,945,3743
460,20200110,7호선,도봉산,10156,11427,21583
461,20200110,7호선,수락산,14750,14476,29226
462,20200110,7호선,마들,14275,13285,27560
463,20200110,7호선,노원,24913,27209,52122
464,20200110,7호선,중계,17751,15762,33513
465,20200110,7호선,하계,21693,20115,41808
466,20200110,7호선,공릉(서울과학기술대),14426,14213,28639
467,20200110,7호선,태릉입구,9795,8945,18740
468,20200110,7호선,먹골,12297,11909,24206
469,20200110,7호선,중화,13430,12862,26292
470,20200110,7호선,상봉(시외버스터미널),20322,19559,39881
471,20200110,7호선,면목,17889,16938,34827
472,20200110,7호선,사가정,18240,18191,36431
473,20200110,7호선,용마산,6890,6387,13277
474,20200110,7호선,중곡,11691,10694,22385
475,20200110,7호선,군자(능동),17663,13628,31291
476,20200110,7호선,어린이대공원(세종대),14646,14008,28654
477,20200110,7호선,건대입구,17177,18923,36100
478,20200110,7호선,뚝섬유원지,8229,7874,16103
479,20200110,7호선,청담,23692,26875,50567
480,20200110,7호선,강남구청,18676,21215,39891
481,20200110,7호선,학동,27360,29843,57203
482,20200110,7호선,논현,24404,27698,52102
483,20200110,7호선,반포,7690,7365,15055
484,20200110,7호선,고속터미널,24428,19582,44010
485,20200110,7호선,내방,16938,17311,34249
486,20200110,7호선,이수,20303,20155,40458
487,20200110,7호선,남성,13510,12188,25698
488,20200110,7호선,숭실대입구(살피재),18033,17777,35810
489,20200110,7호선,상도,13195,12228,25423
490,20200110,7호선,장승배기,12609,12070,24679
491,20200110,7호선,신대방삼거리,19877,18603,38480
492,20200110,7호선,보라매,11287,11359,22646
493,20200110,7호선,신풍,13000,12404,25404
494,20200110,7호선,대림(구로구청),9953,10177,20130
495,20200110,7호선,남구로,18526,20000,38526
496,20200110,7호선,가산디지털단지,51492,51422,102914
497,20200110,7호선,철산,27444,28442,55886
498,20200110,7호선,광명사거리,28851,28205,57056
499,20200110,7호선,천왕,11844,10416,22260
500,20200110,7호선,온수(성공회대입구),11854,10985,22839
501,20200110,7호선,까치울,8377,7765,16142
502,20200110,7호선,부천종합운동장,5479,4534,10013
503,20200110,7호선,춘의,10961,10574,21535
504,20200110,7호선,신중동,17716,17780,35496
505,20200110,7호선,부천시청,14968,15010,29978
506,20200110,7호선,상동,16732,17562,34294
507,20200110,7호선,삼산체육관,6276,5730,12006
508,20200110,7호선,굴포천,10694,11378,22072
509,20200110,7호선,부평구청,14241,11429,25670
510,20200111,7호선,장암,1644,952,2596
511,20200111,7호선,도봉산,7360,9620,16980
512,20200111,7호선,수락산,11903,11489,23392
513,20200111,7호선,마들,9961,9302,19263
514,20200111,7호선,노원,19259,20636,39895
515,20200111,7호선,중계,11719,10572,22291
516,20200111,7호선,하계,15565,14520,30085
517,20200111,7호선,공릉(서울과학기술대),10524,10234,20758
518,20200111,7호선,태릉입구,7458,6683,14141
519,20200111,7호선,먹골,9745,9259,19004
520,20200111,7호선,중화,9625,9032,18657
521,20200111,7호선,상봉(시외버스터미널),16303,15567,31870
522,20200111,7호선,면목,13365,12412,25777
523,20200111,7호선,사가정,14222,13514,27736
524,20200111,7호선,용마산,5123,4786,9909
525,20200111,7호선,중곡,8021,7410,15431
526,20200111,7호선,군자(능동),12657,9442,22099
527,20200111,7호선,어린이대공원(세종대),11337,10902,22239
528,20200111,7호선,건대입구,15420,16742,32162
529,20200111,7호선,뚝섬유원지,6961,6858,13819
530,20200111,7호선,청담,13904,14916,28820
531,20200111,7호선,강남구청,11978,13224,25202
532,20200111,7호선,학동,14113,15014,29127
533,20200111,7호선,논현,14039,15881,29920
534,20200111,7호선,반포,5622,5391,11013
535,20200111,7호선,고속터미널,22977,16693,39670
536,20200111,7호선,내방,9373,9351,18724
537,20200111,7호선,이수,15327,15091,30418
538,20200111,7호선,남성,9492,8560,18052
539,20200111,7호선,숭실대입구(살피재),10774,10512,21286
540,20200111,7호선,상도,9458,8563,18021
541,20200111,7호선,장승배기,8949,8552,17501
542,20200111,7호선,신대방삼거리,13499,12478,25977
543,20200111,7호선,보라매,8034,7512,15546
544,20200111,7호선,신풍,9919,9667,19586
545,20200111,7호선,대림(구로구청),9655,10597,20252
546,20200111,7호선,남구로,10566,11172,21738
547,20200111,7호선,가산디지털단지,18338,16629,34967
548,20200111,7호선,철산,21036,21341,42377
549,20200111,7호선,광명사거리,22673,22418,45091
550,20200111,7호선,천왕,7521,6811,14332
551,20200111,7호선,온수(성공회대입구),6801,6801,13602
552,20200111,7호선,까치울,6125,5713,11838
553,20200111,7호선,부천종합운동장,3761,3278,7039
554,20200111,7호선,춘의,6076,5658,11734
555,20200111,7호선,신중동,12460,12371,24831
556,20200111,7호선,부천시청,11743,11662,23405
557,20200111,7호선,상동,14243,14631,28874
558,20200111,7호선,삼산체육관,4333,4012,8345
559,20200111,7호선,굴포천,7976,8205,16181
