,사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
283,2020-01-06,수인분당선,인천,938,1521,2459
284,2020-01-07,수인분당선,선릉,15502,24489,39991
285,2020-01-07,수인분당선,한티,17081,17939,35020
286,2020-01-07,수인분당선,도곡,7794,7873,15667
287,2020-01-07,수인분당선,구룡,1751,1824,3575
288,2020-01-07,수인분당선,개포동,3809,4009,7818
289,2020-01-07,수인분당선,대모산입구,3573,3355,6928
290,2020-01-07,수인분당선,수서,15403,15928,31331
291,2020-01-07,수인분당선,수원,8730,6117,14847
292,2020-01-07,수인분당선,서울숲,9268,9269,18537
293,2020-01-07,수인분당선,압구정로데오,18547,20579,39126
294,2020-01-07,수인분당선,강남구청,11299,12956,24255
295,2020-01-07,수인분당선,선정릉,9471,10043,19514
296,2020-01-07,수인분당선,가천대,8030,9220,17250
297,2020-01-07,수인분당선,태평,14861,14479,29340
298,2020-01-07,수인분당선,모란,21682,21828,43510
299,2020-01-07,수인분당선,야탑,30783,32578,63361
300,2020-01-07,수인분당선,서현,30633,31085,61718
301,2020-01-07,수인분당선,수내,15484,15624,31108
302,2020-01-07,수인분당선,정자,19792,21290,41082
303,2020-01-07,수인분당선,미금,18477,19864,38341
304,2020-01-07,수인분당선,오리,13760,11625,25385
305,2020-01-07,수인분당선,이매,6309,5990,12299
306,2020-01-07,수인분당선,보정,3131,2665,5796
307,2020-01-07,수인분당선,죽전,15194,16902,32096
308,2020-01-07,수인분당선,구성,5492,5540,11032
309,2020-01-07,수인분당선,신갈,5545,5330,10875
310,2020-01-07,수인분당선,기흥,10714,10358,21072
311,2020-01-07,수인분당선,상갈,6191,5770,11961
312,2020-01-07,수인분당선,청명,4929,4624,9553
313,2020-01-07,수인분당선,영통,9537,9670,19207
314,2020-01-07,수인분당선,망포,15272,14465,29737
315,2020-01-07,수인분당선,매탄권선,4887,4781,9668
316,2020-01-07,수인분당선,수원시청,12436,13648,26084
317,2020-01-07,수인분당선,매교,2463,2499,4962
318,2020-01-07,수인분당선,달월,76,46,122
319,2020-01-07,수인분당선,월곶,2322,2174,4496
320,2020-01-07,수인분당선,소래포구,4230,3854,8084
321,2020-01-07,수인분당선,인천논현,6050,6336,12386
322,2020-01-07,수인분당선,호구포,3642,3737,7379
323,2020-01-07,수인분당선,남동인더스파크,2385,2649,5034
324,2020-01-07,수인분당선,원인재,4232,4417,8649
325,2020-01-07,수인분당선,연수,4655,4635,9290
326,2020-01-07,수인분당선,송도,2606,2371,4977
327,2020-01-07,수인분당선,인하대,5478,5254,10732
328,2020-01-07,수인분당선,숭의,3791,3557,7348
329,2020-01-07,수인분당선,신포,1800,1771,3571
330,2020-01-07,수인분당선,인천,796,1419,2215
331,2020-01-08,수인분당선,선릉,15117,24527,39644
332,2020-01-08,수인분당선,한티,17105,18108,35213
333,2020-01-08,수인분당선,도곡,7948,8096,16044
334,2020-01-08,수인분당선,구룡,1737,1755,3492
335,2020-01-08,수인분당선,개포동,4190,4355,8545
336,2020-01-08,수인분당선,대모산입구,3878,3473,7351
337,2020-01-08,수인분당선,수서,15892,16120,32012
338,2020-01-08,수인분당선,복정,1,0,1
339,2020-01-08,수인분당선,수원,9316,6705,16021
340,2020-01-08,수인분당선,서울숲,9594,9807,19401
341,2020-01-08,수인분당선,압구정로데오,18588,20954,39542
342,2020-01-08,수인분당선,강남구청,11430,13336,24766
343,2020-01-08,수인분당선,선정릉,9334,10036,19370
344,2020-01-08,수인분당선,가천대,8072,9296,17368
345,2020-01-08,수인분당선,태평,15488,15147,30635
346,2020-01-08,수인분당선,모란,23176,23294,46470
347,2020-01-08,수인분당선,야탑,33170,34953,68123
348,2020-01-08,수인분당선,서현,32294,32587,64881
349,2020-01-08,수인분당선,수내,16285,16320,32605
350,2020-01-08,수인분당선,정자,20777,22258,43035
351,2020-01-08,수인분당선,미금,19932,21382,41314
352,2020-01-08,수인분당선,오리,14434,12162,26596
353,2020-01-08,수인분당선,이매,6833,6428,13261
354,2020-01-08,수인분당선,보정,3289,2757,6046
355,2020-01-08,수인분당선,죽전,16239,17991,34230
356,2020-01-08,수인분당선,구성,5748,5847,11595
357,2020-01-08,수인분당선,신갈,5827,5618,11445
358,2020-01-08,수인분당선,기흥,11568,10880,22448
359,2020-01-08,수인분당선,상갈,6535,5996,12531
360,2020-01-08,수인분당선,청명,4982,4691,9673
361,2020-01-08,수인분당선,영통,10240,10182,20422
362,2020-01-08,수인분당선,망포,15820,14763,30583
363,2020-01-08,수인분당선,매탄권선,5082,4771,9853
364,2020-01-08,수인분당선,수원시청,13016,14291,27307
365,2020-01-08,수인분당선,매교,2668,2650,5318
366,2020-01-08,수인분당선,달월,72,52,124
367,2020-01-08,수인분당선,월곶,2812,2652,5464
368,2020-01-08,수인분당선,소래포구,4823,4346,9169
369,2020-01-08,수인분당선,인천논현,6578,6948,13526
370,2020-01-08,수인분당선,호구포,3925,3947,7872
