,사용일자,노선명,역명,승차총승객수,하차총승객수,승하차총승객수
500,20200208,우이신설선,삼양사거리,1739,1719,3458
501,20200208,우이신설선,솔샘,3423,2971,6394
502,20200208,우이신설선,북한산보국문,4143,3686,7829
503,20200208,우이신설선,정릉,3137,2613,5750
504,20200208,우이신설선,성신여대입구(돈암),2146,2595,4741
505,20200208,우이신설선,보문,1116,1146,2262
506,20200208,우이신설선,신설동,1288,1304,2592
507,20200209,우이신설선,북한산우이,2273,2199,4472
508,20200209,우이신설선,솔밭공원,1268,1139,2407
509,20200209,우이신설선,4.19민주묘지,1644,1517,3161
510,20200209,우이신설선,가오리,2142,2010,4152
511,20200209,우이신설선,화계,1829,1707,3536
512,20200209,우이신설선,삼양,1079,1052,2131
513,20200209,우이신설선,삼양사거리,1324,1329,2653
514,20200209,우이신설선,솔샘,2434,2297,4731
515,20200209,우이신설선,북한산보국문,3451,3137,6588
516,20200209,우이신설선,정릉,2436,2100,4536
517,20200209,우이신설선,성신여대입구(돈암),1786,1995,3781
